category,subcategory,component,method,cost,cost_units,quantity,quantity_units,useful_life,remaining_useful_life,notes,B6_category
Painting,Exterior,Painting Unit Buildings-Clubhouse-Exterior,Repeating,4.0,$/SF,25000,SF,10,6:06,Source page: 124,Other
Painting,Exterior Metal,Pool Area Metal Rail Fence-Gate-Painting,Repeating,15.0,$/LF,200,LF,10,0:06,Source page: 130,Painting
Painting,Interior,Clubhouse Interior Painting,Repeating,1.75,$/SF,20000,SF,12,1:06,Source page: 90,Painting
Painting,Parking,Parking Striping-Curb Painting,Repeating,5000.0,Allow,1,Allow,7,3:06,Source page: 125,Painting
Plumbing,Equipment,Clubhouse Hot Water Heaters-Expansion,Repeating,1200.0,Each,2,Each,12,9:06,Source page: 88,Clubhouse
Plumbing,Sanitation,Sewer Lateral Lines-Cleanouts,Repeating,5000.0,Allow,1,Allow,5,1:06,Source page: 146,Other
Renovation,Bar Service,Clubhouse Bar Remodel,Repeating,5000.0,Job,1,Job,20,5:06,Source page: 76,Clubhouse
Renovation,Bathrooms,Clubhouse Bathroom Remodel,Repeating,6000.0,Each,2,Each,20,5:06,Source page: 78,Clubhouse
Renovation,Kitchenette,Fitness Room Kitchenette Remodel,Repeating,3500.0,Allow,1,Allow,20,5:06,Source page: 111,Clubhouse
Renovation,Laundry,Laundry Room Remodel,Repeating,3500.0,Allow,1,Allow,20,5:06,Source page: 118,Clubhouse
Renovation,Plaster,Pool Resurface,Repeating,12.0,$/SF,1200,SF,15,13:06,Source page: 142,Pool
Renovation,Shop,Clubhouse Maintenance Shop Remodel,Repeating,2500.0,Allow,1,Allow,10,3:06,Source page: 91,Clubhouse
Renovation,Shower Room,Clubhouse Pool Room-Shower Remodel,Repeating,5000.0,Allow,1,Allow,20,5:06,Source page: 92,Clubhouse
Renovation,Wood,Sauna Remodel,Repeating,2500.0,Job,1,Job,20,5:06,Source page: 145,Clubhouse
Roofing,Drainage,Gutters-Downspouts,Repeating,5000.0,Allow,1,Allow,5,0:06,Source page: 113,Gutters
Roofing,Elastomeric,Garage Flat Roof,Repeating,6000.0,SF,13,SF,25,10:06,Source page: 112,Garage Roofs
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,5:06,Source page: 68,Carports
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,6:06,Source page: 68,Carports
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,7:06,Source page: 68,Carports
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,8:06,Source page: 68,Carports
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,9:06,Source page: 68,Carports
